movie_name,is_adult,year_of_release,genres,actor_1,actor_2,actor_3,imdb_rating,comb
Mere Jeevan Saathi,0,2006,drama music romance,akshay kumar,karisma kapoor,ameesha patel,3.5,Mere Jeevan Saathi drama music romance akshay kumar karisma kapoor ameesha patel
Prateeksha,0,1993,action crime,jeetendra,moushumi chatterjee,vinod mehra,5.7,Prateeksha action crime jeetendra moushumi chatterjee vinod mehra
Sacred Evil,0,2006,drama,sarika,lynsey pow,,6.0,Sacred Evil drama sarika lynsey pow 
Rang De Basanti,0,2006,comedy drama,aamir khan,siddharth,sharman joshi,8.2,Rang De Basanti comedy drama aamir khan siddharth sharman joshi
Shaadi Karke Phas Gaya Yaar,0,2006,comedy drama romance,salman khan,shilpa shetty kundra,reema lagoo,4.0,Shaadi Karke Phas Gaya Yaar comedy drama romance salman khan shilpa shetty kundra reema lagoo
Sandwich,0,2006,comedy thriller,govinda,raveena tandon,mahima chaudhry,5.4,Sandwich comedy thriller govinda raveena tandon mahima chaudhry
Shaadi Se Pehle,0,2006,comedy musical romance,akshaye khanna,ayesha takia,mallika sherawat,4.0,Shaadi Se Pehle comedy musical romance akshaye khanna ayesha takia mallika sherawat
Saawan... The Love Season,0,2006,drama fantasy romance,salman khan,saloni aswani,kapil jhaveri,2.2,Saawan... The Love Season drama fantasy romance salman khan saloni aswani kapil jhaveri
Shiva,0,2006,action crime drama,mohit ahlawat,priyanka kothari,vinod jaywant,4.0,Shiva action crime drama mohit ahlawat priyanka kothari vinod jaywant
Souten The Other Woman,0,2006,thriller,mahima chaudhry,padmini kolhapure,shakti kapoor,4.8,Souten The Other Woman thriller mahima chaudhry padmini kolhapure shakti kapoor
Shikhar,0,2005,drama,ajay devgn,shahid kapoor,bipasha basu,4.9,Shikhar drama ajay devgn shahid kapoor bipasha basu
Children of Heaven,0,1997,drama family sport,mohammad amir naji,amir farrokh hashemian,bahare seddiqi,8.3,Children of Heaven drama family sport mohammad amir naji amir farrokh hashemian bahare seddiqi
Tathastu,0,2006,crime drama thriller,sanjay dutt,ameesha patel,jaya prada,4.5,Tathastu crime drama thriller sanjay dutt ameesha patel jaya prada
The Killer,0,2006,action comedy crime,irrfan khan,emraan hashmi,priyanka kothari,4.6,The Killer action comedy crime irrfan khan emraan hashmi priyanka kothari
Umrao Jaan,0,2006,drama romance,aishwarya rai bachchan,shabana azmi,sunil shetty,5.5,Umrao Jaan drama romance aishwarya rai bachchan shabana azmi sunil shetty
Taxi No. 9 2 11 Nau Do Gyarah,0,2006,comedy drama thriller,nana patekar,john abraham,sonali kulkarni,7.2,Taxi No. 9 2 11 Nau Do Gyarah comedy drama thriller nana patekar john abraham sonali kulkarni
Teesri Aankh The Hidden Camera,0,2006,action crime thriller,sunny deol,ameesha patel,neha dhupia,2.5,Teesri Aankh The Hidden Camera action crime thriller sunny deol ameesha patel neha dhupia
Vivah,0,2006,drama family musical,shahid kapoor,amrita rao,anupam kher,6.6,Vivah drama family musical shahid kapoor amrita rao anupam kher
Utthaan,0,2006,drama romance thriller,priyanshu chatterjee,neha dhupia,,4.4,Utthaan drama romance thriller priyanshu chatterjee neha dhupia 
Waris Shah Ishq Daa Waaris,0,2006,drama history,gurdas maan,juhi chawla,sushant singh,7.0,Waris Shah Ishq Daa Waaris drama history gurdas maan juhi chawla sushant singh
Woh Lamhe,0,2006,biography drama romance,kangana ranaut,shiney ahuja,shaad randhawa,6.6,Woh Lamhe biography drama romance kangana ranaut shiney ahuja shaad randhawa
What If?,0,2006,drama,paresh rawal,konkona sen sharma,jimmy sheirgill,6.7,What If? drama paresh rawal konkona sen sharma jimmy sheirgill
Umar,0,2006,crime drama musical,jimmy sheirgill,shenaz treasury,kader khan,5.7,Umar crime drama musical jimmy sheirgill shenaz treasury kader khan
Zindaggi Rocks,0,2006,drama romance,sushmita sen,shiney ahuja,julian burkhardt,4.0,Zindaggi Rocks drama romance sushmita sen shiney ahuja julian burkhardt
Tom Dick and Harry,0,2006,comedy romance,rakesh bedi,bobby darling,avtar gill,3.2,Tom Dick and Harry comedy romance rakesh bedi bobby darling avtar gill
Aashiq Banaya Aapne Love Takes Over,0,2005,drama romance thriller,emraan hashmi,tanushree dutta,sonu sood,4.2,Aashiq Banaya Aapne Love Takes Over drama romance thriller emraan hashmi tanushree dutta sonu sood
Anjaane The Unkown,0,2005,horror,manisha koirala,sanjay kapoor,helen,4.0,Anjaane The Unkown horror manisha koirala sanjay kapoor helen
Apaharan,0,2005,action crime drama,ajay devgn,nana patekar,bipasha basu,7.4,Apaharan action crime drama ajay devgn nana patekar bipasha basu
Bachke Rehna Re Baba,0,2005,comedy,rekha,mallika sherawat,paresh rawal,2.7,Bachke Rehna Re Baba comedy rekha mallika sherawat paresh rawal
7 1/2 Phere More Than a Wedding,0,2005,comedy drama,juhi chawla,irrfan khan,manoj pahwa,5.4,7 1/2 Phere More Than a Wedding comedy drama juhi chawla irrfan khan manoj pahwa
A Sublime Love Story Barsaat,0,2005,drama romance,bobby deol,bipasha basu,priyanka chopra,4.0,A Sublime Love Story Barsaat drama romance bobby deol bipasha basu priyanka chopra
Bewafaa,0,2005,drama romance,anil kapoor,akshay kumar,kareena kapoor,4.3,Bewafaa drama romance anil kapoor akshay kumar kareena kapoor
Black,0,2005,drama,amitabh bachchan,rani mukerji,shernaz patel,8.2,Black drama amitabh bachchan rani mukerji shernaz patel
Zinda,0,2006,action drama mystery,sanjay dutt,john abraham,lara dutta,5.0,Zinda action drama mystery sanjay dutt john abraham lara dutta
Bluffmaster!,0,2005,comedy crime drama,abhishek bachchan,priyanka chopra,riteish deshmukh,6.6,Bluffmaster! comedy crime drama abhishek bachchan priyanka chopra riteish deshmukh
99.9 FM,0,2005,crime drama,shawar ali,jaipreet nagra,raima sen,4.8,99.9 FM crime drama shawar ali jaipreet nagra raima sen
Bhola in Bollywood,0,2004,comedy,ali asgar,raj babbar,suresh chatwal,6.6,Bhola in Bollywood comedy ali asgar raj babbar suresh chatwal
Bhagmati,0,2005,animation drama history,tabu,milind soman,j.v. somayajulu,6.5,Bhagmati animation drama history tabu milind soman j.v. somayajulu
Blackmail,0,2005,action drama thriller,ajay devgn,sunil shetty,priyanka chopra,4.1,Blackmail action drama thriller ajay devgn sunil shetty priyanka chopra
Bunty Aur Babli,0,2005,comedy drama romance,abhishek bachchan,rani mukerji,amitabh bachchan,6.2,Bunty Aur Babli comedy drama romance abhishek bachchan rani mukerji amitabh bachchan
Chaahat Ek Nasha...,0,2005,drama romance thriller,aryan vaid,manisha koirala,preeti jhangiani,4.0,Chaahat Ek Nasha... drama romance thriller aryan vaid manisha koirala preeti jhangiani
Chetna The Excitement,0,2005,thriller,jatin grewal,kiran kumar,navnit ravi rana,3.2,Chetna The Excitement thriller jatin grewal kiran kumar navnit ravi rana
Chand Sa Roshan Chehra,0,2005,romance,samir aftab,talat aziz,tamannaah bhatia,4.9,Chand Sa Roshan Chehra romance samir aftab talat aziz tamannaah bhatia
Chocolate Deep Dark Secrets,0,2005,crime drama mystery,anil kapoor,sunil shetty,arshad warsi,4.8,Chocolate Deep Dark Secrets crime drama mystery anil kapoor sunil shetty arshad warsi
'D',0,2005,crime drama thriller,randeep hooda,chunky pandey,rukhsar rehman,6.8,'D' crime drama thriller randeep hooda chunky pandey rukhsar rehman
Deewane Huye Paagal,0,2005,action comedy drama,akshay kumar,sunil shetty,shahid kapoor,5.3,Deewane Huye Paagal action comedy drama akshay kumar sunil shetty shahid kapoor
Bullet Ek Dhamaka,0,2005,action drama,saayli buva,natalya gudkova,iqbal khan,3.7,Bullet Ek Dhamaka action drama saayli buva natalya gudkova iqbal khan
Chehraa,0,2005,thriller,bipasha basu,dino morea,preeti jhangiani,3.8,Chehraa thriller bipasha basu dino morea preeti jhangiani
Dil Jo Bhi Kahey...,0,2005,drama romance,amitabh bachchan,revathy,karan sharma,4.8,Dil Jo Bhi Kahey... drama romance amitabh bachchan revathy karan sharma
Dosti Friends Forever,0,2005,drama romance,akshay kumar,bobby deol,kareena kapoor,5.5,Dosti Friends Forever drama romance akshay kumar bobby deol kareena kapoor
Classic Dance of Love,0,2005,drama,mithun chakraborty,meghna naidu,vikas bhardwaj,4.9,Classic Dance of Love drama mithun chakraborty meghna naidu vikas bhardwaj
Dus,0,2005,action crime drama,sanjay dutt,sunil shetty,abhishek bachchan,5.5,Dus action crime drama sanjay dutt sunil shetty abhishek bachchan
Elaan,0,2005,action thriller,arjun rampal,ameesha patel,john abraham,4.4,Elaan action thriller arjun rampal ameesha patel john abraham
Fareb,0,2005,drama thriller,shilpa shetty kundra,manoj bajpayee,shamita shetty,4.3,Fareb drama thriller shilpa shetty kundra manoj bajpayee shamita shetty
