movie_name,is_adult,year_of_release,genres,actor_1,actor_2,actor_3,imdb_rating,comb
Uri The Surgical Strike,0,2019,action drama war,vicky kaushal,paresh rawal,mohit raina,8.4,Uri The Surgical Strike action drama war vicky kaushal paresh rawal mohit raina
Battalion 609,0,2019,war,vicky ahuja,shoaib ibrahim,shrikant kamat,4.1,Battalion 609 war vicky ahuja shoaib ibrahim shrikant kamat
The Accidental Prime Minister,0,2019,biography drama,anupam kher,akshaye khanna,aahana kumra,6.1,The Accidental Prime Minister biography drama anupam kher akshaye khanna aahana kumra
Why Cheat India,0,2019,crime drama,emraan hashmi,shreya dhanwanthary,snighdadeep chatterji,6.0,Why Cheat India crime drama emraan hashmi shreya dhanwanthary snighdadeep chatterji
Evening Shadows,0,2018,drama,mona ambegaonkar,ananth narayan mahadevan,devansh doshi,7.3,Evening Shadows drama mona ambegaonkar ananth narayan mahadevan devansh doshi
Soni,0,2018,drama,geetika vidya ohlyan,saloni batra,vikas shukla,7.2,Soni drama geetika vidya ohlyan saloni batra vikas shukla
Fraud Saiyaan,0,2019,comedy drama,arshad warsi,saurabh shukla,flora saini,4.2,Fraud Saiyaan comedy drama arshad warsi saurabh shukla flora saini
Bombairiya,0,2019,comedy crime drama,radhika apte,akshay oberoi,siddhanth kapoor,4.3,Bombairiya comedy crime drama radhika apte akshay oberoi siddhanth kapoor
Manikarnika The Queen of Jhansi,0,2019,action biography drama,kangana ranaut,rimi sen,atul kulkarni,6.5,Manikarnika The Queen of Jhansi action biography drama kangana ranaut rimi sen atul kulkarni
Thackeray,0,2019,biography drama,nawazuddin siddiqui,amrita rao,abdul quadir amin,5.1,Thackeray biography drama nawazuddin siddiqui amrita rao abdul quadir amin
Amavas,0,2019,horror thriller,ali asgar,vivan bhatena,nargis fakhri,2.8,Amavas horror thriller ali asgar vivan bhatena nargis fakhri
Gully Boy,0,2019,drama music,ranveer singh,alia bhatt,siddhant chaturvedi,8.2,Gully Boy drama music ranveer singh alia bhatt siddhant chaturvedi
Hum chaar,0,2019,drama,prit kamani,simran sharma,anshuman malhotra,5.6,Hum chaar drama prit kamani simran sharma anshuman malhotra
Total Dhamaal,0,2019,action adventure comedy,ajay devgn,madhuri dixit,anil kapoor,4.3,Total Dhamaal action adventure comedy ajay devgn madhuri dixit anil kapoor
Sonchiriya,0,2019,action crime drama,sushant singh rajput,bhumi pednekar,manoj bajpayee,7.5,Sonchiriya action crime drama sushant singh rajput bhumi pednekar manoj bajpayee
Badla,0,2019,crime drama mystery,amitabh bachchan,taapsee pannu,amrita singh,7.9,Badla crime drama mystery amitabh bachchan taapsee pannu amrita singh
Mard Ko Dard Nahin Hota,0,2018,action comedy,abhimanyu dasani,radhika madan,prateek parmar,7.4,Mard Ko Dard Nahin Hota action comedy abhimanyu dasani radhika madan prateek parmar
Hamid,0,2018,drama,talha arshad reshi,vikas kumar,rasika dugal,7.7,Hamid drama talha arshad reshi vikas kumar rasika dugal
Photograph,0,2019,drama romance,nawazuddin siddiqui,sanya malhotra,sachin khedekar,6.9,Photograph drama romance nawazuddin siddiqui sanya malhotra sachin khedekar
Risknamaa,0,2019,thriller,garima agarwal,anupama,parveen bansala,6.7,Risknamaa thriller garima agarwal anupama parveen bansala
Mere Pyare Prime Minister,0,2018,drama,rasika agashe,sonia albizuri,syna anand,6.8,Mere Pyare Prime Minister drama rasika agashe sonia albizuri syna anand
22 Yards,0,2019,sport,barun sobti,rajit kapur,panchhi bora,5.3,22 Yards sport barun sobti rajit kapur panchhi bora
Kesari,0,2019,action drama history,akshay kumar,parineeti chopra,suvinder vicky,7.4,Kesari action drama history akshay kumar parineeti chopra suvinder vicky
Notebook,0,2019,drama romance,zaheer iqbal,pranutan bahl,mir mohammed mehroos,6.8,Notebook drama romance zaheer iqbal pranutan bahl mir mohammed mehroos
Junglee,0,2019,action adventure,vidyut jammwal,lars kjeldsen,,5.3,Junglee action adventure vidyut jammwal lars kjeldsen 
Gone Kesh,0,2019,drama,deepika amin,kumar kanchan ghosh,brijendra kala,7.1,Gone Kesh drama deepika amin kumar kanchan ghosh brijendra kala
Albert Pinto Ko Gussa Kyun Aata Hai?,0,2019,drama,manav kaul,nandita das,,4.8,Albert Pinto Ko Gussa Kyun Aata Hai? drama manav kaul nandita das 
The Tashkent Files,0,2019,drama mystery thriller,naseeruddin shah,mithun chakraborty,shweta basu prasad,8.0,The Tashkent Files drama mystery thriller naseeruddin shah mithun chakraborty shweta basu prasad
Kalank,0,2019,drama romance,varun dhawan,alia bhatt,aditya roy kapoor,3.6,Kalank drama romance varun dhawan alia bhatt aditya roy kapoor
Setters,0,2019,thriller,shreyas talpade,aftab shivdasani,sonnalli seygall,5.1,Setters thriller shreyas talpade aftab shivdasani sonnalli seygall
Student of the Year 2,0,2019,drama romance sport,tiger shroff,ananya panday,tara sutaria,2.5,Student of the Year 2 drama romance sport tiger shroff ananya panday tara sutaria
PM Narendra Modi,0,2019,biography drama,boman irani,vivek oberoi,barkha bisht,3.3,PM Narendra Modi biography drama boman irani vivek oberoi barkha bisht
De De Pyaar De,0,2019,comedy romance,ajay devgn,tabu,rakul preet singh,6.6,De De Pyaar De comedy romance ajay devgn tabu rakul preet singh
India's Most Wanted,0,2019,action thriller,arjun kapoor,sudev nair,rajesh sharma,4.4,India's Most Wanted action thriller arjun kapoor sudev nair rajesh sharma
Yeh Hai India,0,2017,action adventure drama,gavie chahal,mohan agashe,mohan joshi,5.7,Yeh Hai India action adventure drama gavie chahal mohan agashe mohan joshi
Khamoshi,0,2019,horror thriller,prabhu deva,tamannaah bhatia,bhoomika chawla,3.7,Khamoshi horror thriller prabhu deva tamannaah bhatia bhoomika chawla
Kabir Singh,0,2019,drama romance,shahid kapoor,kiara advani,soham majumdar,7.2,Kabir Singh drama romance shahid kapoor kiara advani soham majumdar
Article 15,0,2019,crime drama,ayushmann khurrana,nassar,manoj pahwa,8.3,Article 15 crime drama ayushmann khurrana nassar manoj pahwa
One Day Justice Delivered,0,2019,action crime thriller,anupam kher,kumud mishra,esha gupta,6.8,One Day Justice Delivered action crime thriller anupam kher kumud mishra esha gupta
Hume Tumse Pyaar Kitna,0,2019,action drama romance,karanvir bohra,priya banerjee,,7.4,Hume Tumse Pyaar Kitna action drama romance karanvir bohra priya banerjee 
Super 30,0,2019,biography drama,hrithik roshan,mrunal thakur,nandish singh,8.2,Super 30 biography drama hrithik roshan mrunal thakur nandish singh
Family of Thakurganj,0,2019,action drama,jimmy sheirgill,mahie gill,nandish singh,9.4,Family of Thakurganj action drama jimmy sheirgill mahie gill nandish singh
Batla House,0,2019,action drama thriller,john abraham,nora fatehi,mrunal thakur,7.3,Batla House action drama thriller john abraham nora fatehi mrunal thakur
Jhootha Kahin Ka,0,2019,comedy,rishi kapoor,jimmy sheirgill,sunny singh nijjar,4.8,Jhootha Kahin Ka comedy rishi kapoor jimmy sheirgill sunny singh nijjar
Judgementall Hai Kya,0,2019,comedy drama thriller,kangana ranaut,rajkummar rao,amyra dastur,6.0,Judgementall Hai Kya comedy drama thriller kangana ranaut rajkummar rao amyra dastur
Chicken Curry Law,0,2019,drama,natalia janoszek,ashutosh rana,makrand deshpande,6.0,Chicken Curry Law drama natalia janoszek ashutosh rana makrand deshpande
Arjun Patiala,0,2019,action comedy,diljit dosanjh,kriti sanon,varun sharma,4.1,Arjun Patiala action comedy diljit dosanjh kriti sanon varun sharma
Jabariya Jodi,0,2019,action comedy drama,sidharth malhotra,parineeti chopra,javed jaffrey,4.2,Jabariya Jodi action comedy drama sidharth malhotra parineeti chopra javed jaffrey
Pranaam,0,2019,action crime drama,rajeev khandelwal,atul kulkarni,abhimanyu singh,7.0,Pranaam action crime drama rajeev khandelwal atul kulkarni abhimanyu singh
The Sky Is Pink,0,2019,drama family romance,zaira wasim,priyanka chopra,farhan akhtar,6.6,The Sky Is Pink drama family romance zaira wasim priyanka chopra farhan akhtar
Mission Mangal,0,2019,drama history,akshay kumar,vidya balan,nithya menon,6.5,Mission Mangal drama history akshay kumar vidya balan nithya menon
Saaho,0,2019,action thriller,jacqueline fernandez,shraddha kapoor,prabhas,5.5,Saaho action thriller jacqueline fernandez shraddha kapoor prabhas
Dream Girl,0,2019,comedy romance,ayushmann khurrana,nushrat bharucha,annu kapoor,7.5,Dream Girl comedy romance ayushmann khurrana nushrat bharucha annu kapoor
Section 375,0,2019,crime drama,akshaye khanna,richa chadha,meera chopra,8.4,Section 375 crime drama akshaye khanna richa chadha meera chopra
The Zoya Factor,0,2019,comedy drama romance,sonam kapoor,dulquer salmaan,sanjay kapoor,4.1,The Zoya Factor comedy drama romance sonam kapoor dulquer salmaan sanjay kapoor
Pal Pal Dil Ke Paas,0,2019,action drama romance,karan deol,sahher bambba,simone singh,4.6,Pal Pal Dil Ke Paas action drama romance karan deol sahher bambba simone singh
Prassthanam,0,2019,action drama,sanjay dutt,jackie shroff,ali fazal,6.0,Prassthanam action drama sanjay dutt jackie shroff ali fazal
P Se Pyaar F Se Faraar,0,2019,crime drama romance,bhavesh kumar,jimmy sheirgill,kumud mishra,7.8,P Se Pyaar F Se Faraar crime drama romance bhavesh kumar jimmy sheirgill kumud mishra
Ghost,0,2019,horror thriller,sanaya irani,shivam bhaargava,vikram bhatt,8.7,Ghost horror thriller sanaya irani shivam bhaargava vikram bhatt
Bala,0,2019,comedy,ayushmann khurrana,bhumi pednekar,yami gautam,8.2,Bala comedy ayushmann khurrana bhumi pednekar yami gautam
#Yaaram,0,2019,comedy romance,siddhanth kapoor,prateik,anita raj,5.7,#Yaaram comedy romance siddhanth kapoor prateik anita raj
Housefull 4,0,2019,action comedy fantasy,akshay kumar,riteish deshmukh,bobby deol,3.3,Housefull 4 action comedy fantasy akshay kumar riteish deshmukh bobby deol
Saand Ki Aankh,0,2019,biography drama,taapsee pannu,bhumi pednekar,prakash jha,8.9,Saand Ki Aankh biography drama taapsee pannu bhumi pednekar prakash jha
Made in China,0,2019,comedy drama,rajkummar rao,mouni roy,boman irani,6.3,Made in China comedy drama rajkummar rao mouni roy boman irani
Ujda Chaman,0,2019,comedy,sunny singh nijjar,maanvi gagroo,saurabh shukla,8.1,Ujda Chaman comedy sunny singh nijjar maanvi gagroo saurabh shukla
Bypass Road,0,2019,drama thriller,neil nitin mukesh,adah sharma,gul panag,7.1,Bypass Road drama thriller neil nitin mukesh adah sharma gul panag
Satellite Shankar,0,2019,action drama,suraj pancholi,anil reji,,4.6,Satellite Shankar action drama suraj pancholi anil reji 
Kaalakaandi,0,2018,comedy thriller,saif ali khan,,unknown,6.2,Kaalakaandi comedy thriller saif ali khan  unknown
Vodka Diaries,0,2018,mystery thriller,kay kay menon,raima sen,mandira bedi,5.6,Vodka Diaries mystery thriller kay kay menon raima sen mandira bedi
My Birthday Song,0,2018,thriller,nora fatehi,elena kazan,suparna krishna,5.5,My Birthday Song thriller nora fatehi elena kazan suparna krishna
Nirdosh,0,2018,drama mystery thriller,ashmit patel,manjari fadnnis,manisha kelkar,3.8,Nirdosh drama mystery thriller ashmit patel manjari fadnnis manisha kelkar
The Brawler,0,2017,action drama sport,viineet kumar,jimmy sheirgill,zoya hussain,8.1,The Brawler action drama sport viineet kumar jimmy sheirgill zoya hussain
Union Leader,0,2017,drama,rahul bhat,tillotama shome,,7.6,Union Leader drama rahul bhat tillotama shome 
Love Per Square Foot,0,2018,comedy romance,vicky kaushal,angira dhar,alankrita sahai,7.2,Love Per Square Foot comedy romance vicky kaushal angira dhar alankrita sahai
Aiyaary,0,2018,action thriller,sidharth malhotra,manoj bajpayee,rakul preet singh,5.2,Aiyaary action thriller sidharth malhotra manoj bajpayee rakul preet singh
Padmaavat,0,2018,drama history romance,deepika padukone,ranveer singh,shahid kapoor,7.0,Padmaavat drama history romance deepika padukone ranveer singh shahid kapoor
Kuchh Bheege Alfaaz,0,2018,romance,geetanjali thapa,zain khan durrani,shray rai tiwari,7.5,Kuchh Bheege Alfaaz romance geetanjali thapa zain khan durrani shray rai tiwari
Jaane kyun de yaaron,0,2018,drama,akshay anand,kabir bedi,hitesh bhardwaj,4.4,Jaane kyun de yaaron drama akshay anand kabir bedi hitesh bhardwaj
Veerey Ki Wedding,0,2018,comedy romance,pulkit samrat,jimmy sheirgill,kriti kharbanda,2.8,Veerey Ki Wedding comedy romance pulkit samrat jimmy sheirgill kriti kharbanda
Sonu Ke Titu Ki Sweety,0,2018,comedy romance,kartik aaryan,nushrat bharucha,sunny singh nijjar,7.1,Sonu Ke Titu Ki Sweety comedy romance kartik aaryan nushrat bharucha sunny singh nijjar
Hate Story IV,0,2018,crime drama thriller,lee byford,urvashi rautela,gulshan grover,3.3,Hate Story IV crime drama thriller lee byford urvashi rautela gulshan grover
Dil Juunglee,0,2018,comedy romance,taapsee pannu,saqib saleem,nidhi singh,4.0,Dil Juunglee comedy romance taapsee pannu saqib saleem nidhi singh
3 Storeys,0,2018,drama,aisha ahmed,tarun anand,richa chadha,7.1,3 Storeys drama aisha ahmed tarun anand richa chadha
Raid,0,2018,action crime drama,ajay devgn,saurabh shukla,ileana d'cruz,7.4,Raid action crime drama ajay devgn saurabh shukla ileana d'cruz
Hichki,0,2018,comedy drama,rani mukerji,sachin,neeraj kabi,7.5,Hichki comedy drama rani mukerji sachin neeraj kabi
Missing,0,2018,drama mystery thriller,manoj bajpayee,tabu,annu kapoor,5.7,Missing drama mystery thriller manoj bajpayee tabu annu kapoor
Baaghi 2,0,2018,action thriller,tiger shroff,disha patani,manoj bajpayee,5.0,Baaghi 2 action thriller tiger shroff disha patani manoj bajpayee
October,0,2018,drama romance,varun dhawan,banita sandhu,gitanjali rao,7.5,October drama romance varun dhawan banita sandhu gitanjali rao
Mercury,0,2018,horror thriller,prabhu deva,gajaraj,ramya nambeeshan,6.2,Mercury horror thriller prabhu deva gajaraj ramya nambeeshan
Beyond the Clouds,0,2017,drama family,ishaan khattar,malavika mohanan,goutam ghose,6.9,Beyond the Clouds drama family ishaan khattar malavika mohanan goutam ghose
Nanu Ki Jaanu,0,2018,comedy drama horror,abhay deol,patralekhaa paul,rajesh sharma,6.2,Nanu Ki Jaanu comedy drama horror abhay deol patralekhaa paul rajesh sharma
Daas Dev,0,2018,drama thriller,yogesh raj mishra,,unknown,5.1,Daas Dev drama thriller yogesh raj mishra  unknown
Omerta,0,2017,action biography crime,rajkummar rao,rajesh tailang,satwant kaur,7.0,Omerta action biography crime rajkummar rao rajesh tailang satwant kaur
Raazi,0,2018,action drama thriller,alia bhatt,vicky kaushal,rajit kapoor,7.8,Raazi action drama thriller alia bhatt vicky kaushal rajit kapoor
Hope Aur Hum,0,2018,comedy drama family,naseeruddin shah,kabir sajid,virti vaghani,6.4,Hope Aur Hum comedy drama family naseeruddin shah kabir sajid virti vaghani
High Jack,0,2018,comedy,sumeet vyas,mantra mugdh,sonnalli seygall,5.2,High Jack comedy sumeet vyas mantra mugdh sonnalli seygall
Khajoor Pe Atke,0,2018,comedy,vinay pathak,suneeta sengupta,alka amin,5.6,Khajoor Pe Atke comedy vinay pathak suneeta sengupta alka amin
Parmanu The Story of Pokhran,0,2018,action drama history,john abraham,boman irani,diana penty,7.7,Parmanu The Story of Pokhran action drama history john abraham boman irani diana penty
Bioscopewala,0,2018,drama,danny denzongpa,geetanjali thapa,adil hussain,7.7,Bioscopewala drama danny denzongpa geetanjali thapa adil hussain
Bhavesh Joshi Superhero,0,2018,action drama,harshvardhan kapoor,priyanshu painyuli,ashish verma,7.6,Bhavesh Joshi Superhero action drama harshvardhan kapoor priyanshu painyuli ashish verma
Phamous,0,2018,comedy crime drama,jimmy sheirgill,shriya saran,kay kay menon,3.7,Phamous comedy crime drama jimmy sheirgill shriya saran kay kay menon
Race 3,0,2018,action thriller,anil kapoor,salman khan,bobby deol,2.0,Race 3 action thriller anil kapoor salman khan bobby deol
Dhadak,0,2018,comedy drama romance,ishaan khattar,janhvi kapoor,ashutosh rana,4.5,Dhadak comedy drama romance ishaan khattar janhvi kapoor ashutosh rana
Sanju,0,2018,biography drama,ranbir kapoor,paresh rawal,manisha koirala,7.8,Sanju biography drama ranbir kapoor paresh rawal manisha koirala
Saheb Biwi Aur Gangster 3,0,2018,action crime drama,sanjay dutt,jimmy sheirgill,mahie gill,4.3,Saheb Biwi Aur Gangster 3 action crime drama sanjay dutt jimmy sheirgill mahie gill
Prince's Son,0,2018,comedy romance,dharmesh yelande,punit pathak,raghav juyal,4.7,Prince's Son comedy romance dharmesh yelande punit pathak raghav juyal
Mulk,0,2018,drama,taapsee pannu,rishi kapoor,prateik,6.7,Mulk drama taapsee pannu rishi kapoor prateik
Long Live Brij Mohan,0,2017,comedy crime drama,arjun mathur,nidhi singh,sheetal thakur,7.0,Long Live Brij Mohan comedy crime drama arjun mathur nidhi singh sheetal thakur
Karwaan,0,2018,comedy drama,irrfan khan,dulquer salmaan,mithila palkar,7.5,Karwaan comedy drama irrfan khan dulquer salmaan mithila palkar
Gold,0,2018,drama history sport,akshay kumar,mouni roy,kunal kapoor,7.3,Gold drama history sport akshay kumar mouni roy kunal kapoor
Satyameva Jayate,0,2018,action thriller,john abraham,manoj bajpayee,aisha sharma,5.6,Satyameva Jayate action thriller john abraham manoj bajpayee aisha sharma
Happy Phirr Bhag Jayegi,0,2018,comedy,sonakshi sinha,diana penty,jimmy sheirgill,4.5,Happy Phirr Bhag Jayegi comedy sonakshi sinha diana penty jimmy sheirgill
Genius,0,2018,action thriller,utkarsh sharma,ishita chauhan,mithun chakraborty,4.6,Genius action thriller utkarsh sharma ishita chauhan mithun chakraborty
Yamla Pagla Deewana Phir Se...,0,2018,action comedy,dharmendra,sunny deol,bobby deol,4.8,Yamla Pagla Deewana Phir Se... action comedy dharmendra sunny deol bobby deol
Stree,0,2018,comedy horror,rajkummar rao,shraddha kapoor,pankaj tripathi,7.7,Stree comedy horror rajkummar rao shraddha kapoor pankaj tripathi
Paltan,0,2018,action drama history,jackie shroff,arjun rampal,sonu sood,5.2,Paltan action drama history jackie shroff arjun rampal sonu sood
Laila Majnu,0,2018,drama romance,avinash tiwary,tripti dimri,sumit kaul,7.7,Laila Majnu drama romance avinash tiwary tripti dimri sumit kaul
In the Shadows,0,2017,drama thriller,manoj bajpayee,ranvir shorey,neeraj kabi,7.1,In the Shadows drama thriller manoj bajpayee ranvir shorey neeraj kabi
Halkaa,0,2018,drama family,paoli dam,vipin katyal,ranvir shorey,7.2,Halkaa drama family paoli dam vipin katyal ranvir shorey
Pataakha,0,2018,action comedy drama,sanya malhotra,radhika madan,sunil grover,7.2,Pataakha action comedy drama sanya malhotra radhika madan sunil grover
Batti Gul Meter Chalu,0,2018,drama,shahid kapoor,shraddha kapoor,divyendu sharma,6.1,Batti Gul Meter Chalu drama shahid kapoor shraddha kapoor divyendu sharma
Love Sonia,0,2018,drama,abhishek bharate,riya sisodiya,mrunal thakur,7.4,Love Sonia drama abhishek bharate riya sisodiya mrunal thakur
Manto,0,2018,biography drama,nawazuddin siddiqui,rasika dugal,tahir raj bhasin,7.4,Manto biography drama nawazuddin siddiqui rasika dugal tahir raj bhasin
Ishqeria,0,2018,comedy romance,manish anand,raj babbar,richa chadha,4.2,Ishqeria comedy romance manish anand raj babbar richa chadha
Manmarziyaan,0,2018,romance,taapsee pannu,abhishek bachchan,vicky kaushal,6.9,Manmarziyaan romance taapsee pannu abhishek bachchan vicky kaushal
Mitron,0,2018,comedy,jackky bhagnani,kritika kamra,prateik,6.9,Mitron comedy jackky bhagnani kritika kamra prateik
Made in India,0,2018,comedy drama,anushka sharma,varun dhawan,raghuvir yadav,6.8,Made in India comedy drama anushka sharma varun dhawan raghuvir yadav
Baazaar,0,2018,crime drama thriller,radhika apte,saif ali khan,chitrangda singh,6.6,Baazaar crime drama thriller radhika apte saif ali khan chitrangda singh
Jalebi,0,2018,drama,rhea chakraborty,varun mitra,digangana suryavanshi,6.3,Jalebi drama rhea chakraborty varun mitra digangana suryavanshi
FryDay,0,2018,comedy,govinda,varun sharma,sanjay mishra,5.4,FryDay comedy govinda varun sharma sanjay mishra
Tumbbad,0,2018,drama fantasy horror,sohum shah,jyoti malshe,anita date,8.2,Tumbbad drama fantasy horror sohum shah jyoti malshe anita date
Helicopter Eela,0,2018,drama,kajol,riddhi sen,tota roy chowdhury,5.5,Helicopter Eela drama kajol riddhi sen tota roy chowdhury
Namaste England,0,2018,comedy drama romance,arjun kapoor,parineeti chopra,atul sharma,1.7,Namaste England comedy drama romance arjun kapoor parineeti chopra atul sharma
Andhadhun,0,2018,crime thriller,ayushmann khurrana,tabu,radhika apte,8.4,Andhadhun crime thriller ayushmann khurrana tabu radhika apte
Badhaai Ho,0,2018,comedy drama,ayushmann khurrana,sanya malhotra,neena gupta,8.0,Badhaai Ho comedy drama ayushmann khurrana sanya malhotra neena gupta
5 Weddings,0,2018,comedy drama romance,nargis fakhri,rajkummar rao,bo derek,3.2,5 Weddings comedy drama romance nargis fakhri rajkummar rao bo derek
Kaashi in Search of Ganga,0,2018,thriller,aishwarya devan,kranti prakash jha,manoj joshi,5.6,Kaashi in Search of Ganga thriller aishwarya devan kranti prakash jha manoj joshi
Dassehra,0,2018,action thriller,neil nitin mukesh,tina desai,manish vatssalya,3.8,Dassehra action thriller neil nitin mukesh tina desai manish vatssalya
The Journey of Karma,0,2018,drama,shakti kapoor,poonam pandey,,6.3,The Journey of Karma drama shakti kapoor poonam pandey 
Jack & Dil,0,2018,comedy family,amit sadh,arbaaz khan,sonal chauhan,5.1,Jack & Dil comedy family amit sadh arbaaz khan sonal chauhan
Mohalla Assi,0,2015,comedy drama,sunny deol,sakshi tanwar,ravi kishan,6.9,Mohalla Assi comedy drama sunny deol sakshi tanwar ravi kishan
Pihu,0,2018,drama thriller,rahul bagga,pihu myra vishwakarma,,6.7,Pihu drama thriller rahul bagga pihu myra vishwakarma 
Brother Superhit!,0,2018,action comedy drama,sunny deol,preity zinta,arshad warsi,4.1,Brother Superhit! action comedy drama sunny deol preity zinta arshad warsi
Rajma Chawal,0,2018,comedy drama family,amyra dastur,aparshakti khurana,rishi kapoor,5.7,Rajma Chawal comedy drama family amyra dastur aparshakti khurana rishi kapoor
Zero,0,2018,comedy drama romance,shah rukh khan,anushka sharma,katrina kaif,5.5,Zero comedy drama romance shah rukh khan anushka sharma katrina kaif
Simmba,0,2018,action comedy drama,ranveer singh,sara ali khan,sonu sood,6.3,Simmba action comedy drama ranveer singh sara ali khan sonu sood
Tiger Zinda Hai,0,2017,action adventure thriller,salman khan,katrina kaif,anupriya goenka,6.0,Tiger Zinda Hai action adventure thriller salman khan katrina kaif anupriya goenka
Golmaal Again,0,2017,action comedy fantasy,ajay devgn,arshad warsi,tusshar kapoor,4.9,Golmaal Again action comedy fantasy ajay devgn arshad warsi tusshar kapoor
Twins 2,0,2017,action comedy,varun dhawan,jacqueline fernandez,taapsee pannu,3.8,Twins 2 action comedy varun dhawan jacqueline fernandez taapsee pannu
Okay Darling,0,2017,drama romance,shraddha kapoor,naseeruddin shah,aditya roy kapoor,5.1,Okay Darling drama romance shraddha kapoor naseeruddin shah aditya roy kapoor
Coffee with D,0,2017,comedy,sunil grover,zakir hussain,dipannita sharma,4.5,Coffee with D comedy sunil grover zakir hussain dipannita sharma
Kaabil,0,2017,action drama thriller,hrithik roshan,yami gautam,ronit roy,7.1,Kaabil action drama thriller hrithik roshan yami gautam ronit roy
Raees,0,2017,action crime drama,raj arjun,shubham chintamani,shubham tukaram,6.8,Raees action crime drama raj arjun shubham chintamani shubham tukaram
Thugs of Hindostan,0,2018,action adventure,aamir khan,katrina kaif,amitabh bachchan,4.0,Thugs of Hindostan action adventure aamir khan katrina kaif amitabh bachchan
Hind Ka Napak Ko Jawab,0,2017,action comedy,gurmeet ram rahim singh,honeypreet insan,,6.8,Hind Ka Napak Ko Jawab action comedy gurmeet ram rahim singh honeypreet insan 
Running Shaadi,0,2017,comedy romance,arsh bajwa,taapsee pannu,richa meena,6.7,Running Shaadi comedy romance arsh bajwa taapsee pannu richa meena
The Ghazi Attack,0,2017,action thriller war,rana daggubati,kay kay menon,atul kulkarni,7.6,The Ghazi Attack action thriller war rana daggubati kay kay menon atul kulkarni
Irada,0,2017,drama mystery thriller,naseeruddin shah,arshad warsi,divya dutta,6.2,Irada drama mystery thriller naseeruddin shah arshad warsi divya dutta
Rangoon,0,2017,action drama history,kangana ranaut,shahid kapoor,saif ali khan,5.7,Rangoon action drama history kangana ranaut shahid kapoor saif ali khan
Wedding Anniversary,0,2017,drama,nana patekar,mahie gill,priyanshu chatterjee,5.4,Wedding Anniversary drama nana patekar mahie gill priyanshu chatterjee
Jeena Isi Ka Naam Hai,0,2017,drama,arbaaz khan,himansh kohli,ashutosh rana,5.6,Jeena Isi Ka Naam Hai drama arbaaz khan himansh kohli ashutosh rana
Badrinath Ki Dulhania,0,2017,comedy drama romance,varun dhawan,alia bhatt,sahil vaid,6.2,Badrinath Ki Dulhania comedy drama romance varun dhawan alia bhatt sahil vaid
Trapped,0,2016,action drama thriller,rajkummar rao,geetanjali thapa,shiladitya sen,7.5,Trapped action drama thriller rajkummar rao geetanjali thapa shiladitya sen
Aa Gaya Hero,0,2017,action,govinda,richa sharma,poonam pandey,2.9,Aa Gaya Hero action govinda richa sharma poonam pandey
Mantra,0,2017,drama family,rajat kapoor,kalki koechlin,shiv panditt,5.2,Mantra drama family rajat kapoor kalki koechlin shiv panditt
Phillauri,0,2017,comedy drama fantasy,anushka sharma,diljit dosanjh,suraj sharma,6.1,Phillauri comedy drama fantasy anushka sharma diljit dosanjh suraj sharma
Machine,0,2017,action mystery romance,kiara advani,rishabh arora,mustafa burmawala,2.7,Machine action mystery romance kiara advani rishabh arora mustafa burmawala
Bhanwarey,0,2017,comedy,shaurya singh,karhan dev,jashan singh kohli,7.3,Bhanwarey comedy shaurya singh karhan dev jashan singh kohli
Anaarkali of Aarah,0,2017,drama,pankaj tripathi,swara bhaskar,sanjay mishra,6.5,Anaarkali of Aarah drama pankaj tripathi swara bhaskar sanjay mishra
Naam Shabana,0,2017,action thriller,taapsee pannu,akshay kumar,manoj bajpayee,6.3,Naam Shabana action thriller taapsee pannu akshay kumar manoj bajpayee
Hotel Salvation,0,2016,comedy drama,adil hussain,lalit behl,geetanjali kulkarni,7.1,Hotel Salvation comedy drama adil hussain lalit behl geetanjali kulkarni
Begum Jaan,0,2017,action drama history,amitabh bachchan,flora saini,vidya balan,5.5,Begum Jaan action drama history amitabh bachchan flora saini vidya balan
Noor,0,2017,comedy drama,sunny leone,sonakshi sinha,purab kohli,4.0,Noor comedy drama sunny leone sonakshi sinha purab kohli
Ek Rani Aisi Bhi Thi,0,2013,biography history,hema malini,vinod khanna,sachin khedekar,0.0,Ek Rani Aisi Bhi Thi biography history hema malini vinod khanna sachin khedekar
Maatr,0,2017,thriller,raveena tandon,madhur mittal,siddharth bhardwaj,4.5,Maatr thriller raveena tandon madhur mittal siddharth bhardwaj
Sarkar 3,0,2017,action crime drama,amitabh bachchan,yami gautam,abhishek bachchan,4.9,Sarkar 3 action crime drama amitabh bachchan yami gautam abhishek bachchan
Jattu Engineer,0,2017,comedy,amardeep insan,ashok insan,divya insan,6.0,Jattu Engineer comedy amardeep insan ashok insan divya insan
Half Girlfriend,0,2017,drama romance,shraddha kapoor,dalip sondhi,arjun kapoor,4.3,Half Girlfriend drama romance shraddha kapoor dalip sondhi arjun kapoor
Meri Pyaari Bindu,0,2017,comedy drama romance,ayushmann khurrana,parineeti chopra,anirban chakraborty,5.8,Meri Pyaari Bindu comedy drama romance ayushmann khurrana parineeti chopra anirban chakraborty
Sachin,0,2017,documentary sport,sachin tendulkar,mayur more,mayuresh pem,8.6,Sachin documentary sport sachin tendulkar mayur more mayuresh pem
